12 25:12 50:12 75:12 100:24 25:24 50:24 75:24 100:48 25:48 50:48 75:48 100:96 25:96 50:96 75:96 100:192 25:192 50:192 75:192 100:
12 25%:12 50%:12 75%:12 100%:24 25%:24 50%:24 75%:24 100%:48 25%:48 50%:48 75%:48 100%:96 25%:96 50%:96 75%:96 100%:192 25%:192 50%:192 75%:192 100%:
14524.000000:24322.000000:29948.000000:30434.000000:60228.000000:80162.000000:93904.000000:98948.000000:189896.000000:270706.000000:310790.000000:322824.000000:721848.000000:1078028.000000:1110418.000000:1128090.000000:2901096.000000:4189098.000000:4174086.000000:4093318.000000
